Title,Category,Year,Violence
The 11th Hour,Adventure,1995,True
3 Point Basketball,Sport,1993,False
3-Demon,Arcade,1983,False
3D Lemmings,Puzzle,1995,False
3D Xmas Adventure: Santa's Rescue,First-Person Shooter,1996,False
3DCube,Traditional,1994,False
A-Train,Real-Time Strategy,1992,False
A.R.S.E.N.A.L Taste the Power,Real-Time Strategy,1998,False
Abuse,Platform,1995,True
Ack-Ack Attack,Arcade,1995,False
Advanced Civilization,Traditional,1996,False
Adventure Fun-Pak,Adventure,1987,False
Adventure Math,Educational,1993,False
The Adventures of Captain Comic,Platform,1988,False
The Adventures of Maddog Williams,Adventure,1992,True
The Aethra Chronicles: Celystra's Bane,Role-Playing,1994,False
Age of Rifles,Turn-Based Strategy,1996,False
Air Power: Battle in the Skies,Simulation,1995,False
Air Trax,Miscellaneous,1983,False
Al-Qadim: The Genie's Curse,Role-Playing,1994,False
Albion,Role-Playing,1995,False
Alien Attack,Arcade,1994,False
Alien Breed: Tower Assault,Shooter,1994,True
Alien Cabal,First-Person Shooter,1997,True
Alien Carnage,Platform,1993,False
Alien Rampage,Platform,1996,True
Alien Trilogy,First-Person Shooter,1996,True
Alive Sharks,Arcade,1990,False
AllegroHack,Role-Playing,2000,False
Alley Cat,Miscellaneous,1984,False
Alone in the Dark,Adventure,1992,False
Alone in the Dark 2,Adventure,1994,False
Alone in the Dark 3,Adventure,1995,False
Alpha Man,Puzzle,1992,False
Amado,Puzzle,1989,False
Amazing Learning Games with Rayman,Educational,1996,False
Amulets & Armor,Role-Playing,1997,True
An Elder Scrolls Legend: Battlespire,Role-Playing,1997,True
Ancients 1: Death Watch,Role-Playing,1993,False
Ant Hill,Arcade,1991,False
Ant Run,Puzzle,1996,False
Antix,Miscellaneous,1985,False
Anvil of Dawn,Role-Playing,1995,True
Apache,Simulation,1995,False
Aquanoid,Arcade,1992,False
Arcade Volleyball,Sport,1987,False
Archimedean Dynasty,Simulation,1996,False
Arctic Adventure,Platform,1991,False
Arcy 2,Puzzle,1994,False
Argo Checkers,Traditional,1993,False
ArkanDOS,Arcade,2014,False
Ascendancy,Turn-Based Strategy,1995,False
Aspetra,Role-Playing,1996,False
Assault Trooper,Shooter,1997,True
Assault Wing,Shooter,1998,True
Astro3D,First-Person Shooter,1997,False
AstroFire,Arcade,1994,True
Avalon,Role-Playing,1998,False
Avenger,Shooter,1996,False
Axia,Shooter,1998,False
BabyType,Educational,1993,False
Back To Baghdad,Simulation,1996,False
BACKLASH: A Turret Gunner Simulation,Simulation,1995,False
Balloon Challenge,Puzzle,1993,False
Bananoid,Arcade,1989,False
The Bard's Quest I: Dungeons of the Unknown,Role-Playing,1994,False
Baron Baldric,Platform,1993,False
BassTour,Sport,1992,False
Bat 'n Ball,Arcade,1994,False
Battle Bugs,Real-Time Strategy,1994,False
Battle Chess,Traditional,1988,False
Battle Isle 2200,Turn-Based Strategy,1994,False
BattleStar,Shooter,1994,False
BC Racers,Racing,1995,False
Beneath a Steel Sky,Adventure,1994,False
Bernie,Platform,1993,False
Betrayal at Krondor,Role-Playing,1993,False
Beyond the Titanic,Adventure,1986,False
Big Red Racing,Racing,1995,False
Billy the Kid Returns!,Shooter,1994,True
Bio Menace,Platform,1993,False
BioForge,Adventure,1995,True
Birthright: The Gorgon's Alliance,Turn-Based Strategy,1996,False
The Black Cauldron,Adventure,1987,False
Black Knight: Marine Strike Fighter SE,Simulation,1995,False
Blackstar - Agent of Justice,Adventure,1995,True
Blackthorne,Platform,1994,True
Blake Stone: Aliens of Gold,First-Person Shooter,1993,True
Blake Stone: Planet Strike!,First-Person Shooter,1994,True
Blast Chamber,Puzzle,1997,False
Blind Wars,Real-Time Strategy,1992,False
Block-Man 1,Real-Time Strategy,1994,False
Blocks from Hell,Puzzle,1992,False
Blood,First-Person Shooter,1997,True
Blood & Magic,Real-Time Strategy,1996,False
Bluppo,Arcade,1997,False
Body Blows,Fighting,1993,True
Bolo Adventures I,Puzzle,1992,False
Boloball,Puzzle,1992,False
Bomb Blast,Arcade,1997,False
Bomber,Shooter,1993,False
Boppin',Puzzle,1994,False
Bouncing Babies,Miscellaneous,1984,False
BrainStorm,Puzzle,1994,False
Brix,Puzzle,1992,False
Brutal: Paws of Fury,Fighting,1995,True
Bubble Pop,Arcade,1997,False
Bust-A-Move 2: Arcade Edition,Puzzle,1996,False
Buzz Aldrin's Race into Space,Simulation,1993,False
C-Dogs,Shooter,1997,True
Caesar II,Real-Time Strategy,1995,False
Call of Cthulhu: Shadow of the Comet,Adventure,1993,True
Cannon Fodder,Real-Time Strategy,1994,True
Cannon Fodder 2,Real-Time Strategy,1994,True
Canton,Turn-Based Strategy,1994,False
Capitalism,Real-Time Strategy,1995,False
